Stad,Landskap,Län 1970,Landsdel,"Stadsprivilegier/stadskommun från (och till, om före 1971)",Anmärkningar,marker,lat,lon,date
Kongahälla,Bohuslän,Göteborgs och Bohus län,Götaland,Cirka 1100–1600,Nu i Kungälvs kommun,🏙️,57.8700,11.9800,1100
Kramfors,Ångermanland,Västernorrlands län,Norrland,1 januari 1947,Ombildades av Gudmundrå landskommun med Kramfors municipalsamhälle,🏙️,62.9316,17.7765,1947
Kristianopel,Blekinge,Blekinge län,Götaland,1622–1677,Nu i Karlskrona kommun,🏙️,56.2570,16.0420,1622
Kristianstad,Skåne,Kristianstads län,Götaland,1622,,🏙️,56.0294,14.1567,1622
Kristinehamn,Värmland,Värmlands län,Svealand,1642,Se även Broo,🏙️,59.3096,14.1084,1642
Kumla,Närke,Örebro län,Svealand,1 januari 1942,Utbröts ur Kumla landskommun samtidigt som Kumla municipalsamhälle upplöstes,🏙️,59.1277,15.1434,1942
Kungsbacka,Halland,Hallands län,Götaland,"1400-talet, 1582",,🏙️,57.4870,12.0760,1400
Kungälv,Bohuslän,Göteborgs och Bohus län,Götaland,1680/1762,,🏙️,57.8708,11.9805,1680
Köping,Västmanland,Västmanlands län,Svealand,före 1474,,🏙️,59.5140,15.9926,1474
Laholm,Halland,Hallands län,Götaland,1200-talet,,🏙️,56.5121,13.0436,1200
Landskrona,Skåne,Malmöhus län,Götaland,1413,,🏙️,55.8703,12.8301,1413
Lidingö,Uppland,Stockholms län,Svealand,1 januari 1926,Ombildades av Lidingö köping,🏙️,59.3644,18.1350,1926
Lidköping,Västergötland,Skaraborgs län,Götaland,1446,,🏙️,58.5052,13.1574,1446
Lindesberg,Västmanland,Örebro län,Svealand,1643,,🏙️,59.5924,15.2304,1643
Linköping,Östergötland,Östergötlands län,Götaland,1100/1200-tal,,🏙️,58.4108,15.6214,1100
Ljungby,Småland,Kronobergs län,Götaland,1 januari 1936,Ombildades av Ljungby landskommun med Ljungby municipalsamhälle,🏙️,56.8333,13.9333,1936
Lomma,Skåne,Malmöhus län,Götaland,1000-talet–1230,Enbart stad under danska tiden.,🏙️,55.6727,13.0685,1000
Ludvika,Dalarna,Kopparbergs län,Svealand,1 januari 1919,Ombilades av Ludvika köping,🏙️,60.1496,15.1878,1919
Luleå,Norrbotten,Norrbottens län,Norrland,1621,,🏙️,65.5848,22.1547,1621
Lund,Skåne,Malmöhus län,Götaland,1000-talet,Stadsbebyggelse från ca 990,🏙️,55.7047,13.1910,1000
Luntertun,Skåne,Kristianstads län,Götaland,1470–1516,Nu del av Ängelholms tätort i Ängelholms kommun. Enbart stad under danska tiden.,🏙️,56.2428,12.8622,1470
Lycksele,Lappland,Västerbottens län,Norrland,1 januari 1946,Ombildades av Lycksele köping,🏙️,64.5954,18.6735,1946
Lyckå,Blekinge,Blekinge län,Götaland,1400-talet–1600,Stadsprivilegierna för Avaskär och Lyckå övertogs av Kristianopel,🏙️,56.2570,16.0420,1400
Lysekil,Bohuslän,Göteborgs och Bohus län,Götaland,1 april 1903,Ombildades av Lysekils köping,🏙️,58.2744,11.4358,1903
Lödöse,Västergötland,Älvsborgs län,Götaland,1100-talet–1526 och 1586–1646,Nu i Lilla Edets kommun,🏙️,58.1300,12.1600,1100
Malmö,Skåne,Malmöhus län,Götaland,omkring 1250,,🏙️,55.6050,13.0038,1250
Mariefred,Södermanland,Södermanlands län,Svealand,1605,Nu i Strängnäs kommun,🏙️,59.2599,17.2230,1605
Mariestad,Västergötland,Skaraborgs län,Götaland,1583,,🏙️,58.7093,13.8230,1583
Marstrand,Bohuslän,Göteborgs och Bohus län,Götaland,före 1442,Nu i Kungälvs kommun,🏙️,57.8868,11.5888,1442
Mjölby,Östergötland,Östergötlands län,Götaland,1 januari 1920,Ombildades av Mjölby landskommun med Mjölby municipalsamhälle,🏙️,58.3254,15.1314,1920
Motala,Östergötland,Östergötlands län,Götaland,1 januari 1881,"Första nygrundade stadskommun efter 1 januari 1863, ombildades av Motala köping",🏙️,58.5420,15.0413,1881
Mölndal,Västergötland,Göteborgs och Bohus län,Götaland,1 januari 1922,Ombildades av Fässbergs landskommun med Mölndals municipalsamhälle,🏙️,57.6565,12.0153,1922
Mönsterås,Småland,Kalmar län,Götaland,1604–före 1620,"Blev lydköping under Kalmar stad 1620, Mönsterås köping 1863",🏙️,57.0429,16.4448,1604
Nacka,Södermanland,Stockholms län,Svealand,1 januari 1949,Ombildades av Nacka landskommun,🏙️,59.3099,18.1677,1949
Nora,Västmanland,Örebro län,Svealand,1643,,🏙️,59.5193,15.0398,1643
Norrköping,Östergötland,Östergötlands län,Götaland,före 1384,,🏙️,58.5909,16.1903,1384
Norrtälje,Uppland,Stockholms län,Svealand,1622,,🏙️,59.7592,18.7037,1622
Nya Lidköping,Västergötland,Skaraborgs län,Götaland,1670–1683,,🏙️,58.5052,13.1574,1670
Nya Lödöse,Västergötland,Älvsborgs län,Götaland,1473–1624,,🏙️,57.7200,12.0400,1473
Ny Varberg,Halland,Hallands län,Götaland,1400-talet–1612,,🏙️,57.1056,12.2508,1400
